cod,name,provincias,population,var_mayores_64_años_(2018),var_extranjeros_(2018),var_hombres_(2018),var_mujeres_(2018),var_edad_media_(2018),var_suelo_urbano,var_analfabetos_+_sin_estudios_(2011),var_estudios_primer_grado_(2011),var_estudios_segundo_grado_(2011),var_tasa_paro_calculada_(2019),var_renta_media_total_(2016),party_PP,party_PSOE,party_Ciudadanos,party_Podemos,party_Vox,var_Abstención_(29A)
32009,O Barco de Valdeorras,Ourense,13463,20.46,7.59,48.67,51.33,44.59,4.72,10.40,18.10,47.05,9.42,19968,30.08,35.54,13.04,9.29,6.92,27.66
32019,O Carballiño,Ourense,13939,28.18,4.83,46.91,53.09,47.90,16.46,10.92,14.39,49.28,10.49,15909,37.05,30.58,11.64,8.05,5.73,28.07
32054,Ourense,Ourense,105505,25.42,4.59,45.46,54.54,46.54,11.22,8.13,12.78,45.76,11.65,19879,24.99,36.43,13.79,11.76,5.61,25.48
32085,Verín,Ourense,13817,25.19,9.89,48.01,51.99,46.66,5.58,10.37,20.57,47.63,14.79,16258,32.96,32.1,12.09,7.97,6.22,28.01
36003,Baiona,Pontevedra,12134,19.94,2.84,49.32,50.68,43.83,5.09,9.72,12.73,51.93,10.16,21117,26.83,27.41,13.5,17.9,6.01,22.87
36004,Bueu,Pontevedra,12148,21.83,1.27,49.25,50.75,44.54,,16.74,15.20,46.24,10.30,19158,28.49,27.35,9.82,18.78,3.92,26.94
36006,Cambados,Pontevedra,13814,20.74,2.14,48.31,51.69,43.63,,12.11,13.29,48.01,11.82,15221,33.6,26.34,9.52,13.06,4.54,21.89
36008,Cangas,Pontevedra,26487,19.84,2.08,49.38,50.62,44.00,6.02,12.61,12.25,46.18,10.66,18828,19.81,27.25,10.4,26.61,3.48,24.93
36017,A Estrada,Pontevedra,20661,27.73,2.03,47.97,52.03,47.79,0.42,10.15,18.47,49.25,9.39,16275,35.97,29.9,8.58,11.41,3.78,26.02
36021,Gondomar,Pontevedra,14236,18.01,1.29,49.69,50.31,42.83,1.60,8.31,16.43,47.10,10.96,19875,24.3,32.73,10.95,17.8,5.3,24.76
36022,O Grove,Pontevedra,10700,21.12,1.83,49.43,50.57,44.88,,13.85,17.93,44.61,12.89,15200,20.43,32.68,8.04,24.71,3.59,26.72
36023,A Guarda,Pontevedra,10013,22.05,2.64,48.69,51.31,45.31,,7.73,20.73,50.15,8.95,17132,26.52,25.87,11.95,17.21,4.39,25.29
36024,Lalín,Pontevedra,20103,25.23,5.81,48.47,51.53,46.78,0.72,11.98,11.86,54.09,9.15,15636,39.91,24.44,12.29,7.84,5.41,24.56
